"Freq [GHz]","dB(S(1,1)) [] - gx1='2mm'","dB(S(1,1)) [] - gx1='2.8mm'","dB(S(1,1))_1 []"
6.82,-5.4433335574567,-2.70588553415617,-3.88866495654157
6.84,-4.97393466069326,-2.40824348046032,-3.49123140276588
6.86,-4.54797062490318,-2.151802487179,-3.14339387869339
6.88,-4.16351639631861,-1.93044655699353,-2.83895947514009
6.9,-3.81777732049944,-1.73904611698108,-2.57229005130217
6.92,-3.50751971360707,-1.5732955121803,-2.33849014907882
6.94,-3.22961527058617,-1.42957826147842,-2.13336056380547
6.96,-2.98115466348304,-1.30485556744263,-1.95330687157458
6.98,-2.75946812269295,-1.1965739731847,-1.79525341704316
7,-2.56213100285003,-1.1025888947764,-1.6565702043786
7.02,-2.38696376742465,-1.02110143095119,-1.53501178517952
7.04,-2.23202813821934,-0.95060635634745,-1.42866626914113
7.06,-2.09562079566175,-0.889849598352772,-1.33591287812812
7.08,-1.97626601061506,-0.837793823051257,-1.25538685391374
7.1,-1.87270846496123,-0.793591038156701,-1.18595084290058
7.12,-1.78390736940271,-0.756561375715561,-1.12667212620339
7.14,-1.70903287875454,-0.726177456230301,-1.07680527026958
7.16,-1.64746576381398,-0.702053968496822,-1.03577996568299
7.18,-1.59880133683548,-0.683942336071272,-1.0031940180918
7.2,-1.56285875382187,-0.671730592443399,-0.978811669432117
