"Freq [GHz]","DG12 []","DG13 []","DG14 []","DG23 []","DG24 []","DG34 []"
5.54,9.99953097236969,9.99820591259578,9.99951348582135,9.99947581984684,9.9981550774397,9.99949719889721
5.56,9.99937746560457,9.99709259029135,9.99935909716567,9.99932152486359,9.9971133559961,9.99934641837924
5.58,9.99915020764176,9.99569312703484,9.99913236267053,9.99908892955544,9.9957817720867,9.99911852214537
5.6,9.99890669969307,9.99371544744579,9.99889050754552,9.99884041793744,9.9938719042135,9.99887328592592
5.62,9.99869208323075,9.9908964228127,9.9986780633327,9.9986226519765,9.99112591967976,9.99865676588498
5.64,9.99854883446343,9.9869659033109,9.99853695178472,9.9984786457178,9.98727674050733,9.9985122237607
5.66,9.99851043623202,9.98167373775659,9.99850032960522,9.99844194621234,9.98207650600537,9.99847388652512
5.68,9.99859067142207,9.97486663810061,9.99858192856316,9.99852610653658,9.97537477813222,9.99855605500841
5.7,9.99877627917681,9.96660065296337,9.9987686381446,9.99871748961468,9.96723140392852,9.99874554222311
5.72,9.99902913139028,9.95725022953619,9.99902252705273,9.99897755987243,9.95802408600762,9.99900376398067
5.74,9.99929893406746,9.94754477666891,9.99929340664876,9.99925560104767,9.94848136151188,9.99927957875313
5.76,9.99954059809125,9.93846662831039,9.99953616613956,9.99950601202233,9.93957673575438,9.99952697200319
5.78,9.99972723938352,9.93100771007264,9.99972383418287,9.9997012542076,9.93228472207076,9.9997183743622
5.8,9.99985315741065,9.92587761465277,9.99985063632853,9.99983491149482,9.92729349171733,9.99984779773585
5.82,9.99992794102812,9.92330303745871,9.99992613269778,9.9999159956491,9.92481199493348,9.99992489806295
5.84,9.99996729683403,9.92300684275772,9.99996603303891,9.99995995652558,9.92455519596783,9.99996564524951
5.86,9.99998581967024,9.9243476276199,9.99998494637685,9.99998149125394,9.92588556810633,9.99998493626712
5.88,9.9999937449339,9.92653009898145,9.9999931259556,9.99999118039378,9.92802235569263,9.99999325510366
5.9,9.99999690255185,9.92880947147895,9.99999642281452,9.99999526172948,9.9302440600886,9.99999659981744
