"Phi [deg]","Theta [deg]","Freq [GHz]","dB(RealizedGainTotal) []"
0,0,4.8,3.8543958436164
0,0,4.82,4.1177058505963
0,0,4.84,4.37374944704446
0,0,4.86,4.62150095803808
0,0,4.88,4.85989236803255
0,0,4.9,5.08782563555925
0,0,4.92,5.30418782177299
0,0,4.94,5.50786827794808
0,0,4.96,5.69777786260038
0,0,4.98,5.87286836772484
0,0,5,6.03215211965002
0,0,5.02,6.17471898496525
0,0,5.04,6.29975018937263
0,0,5.06,6.40652640031467
0,0,5.08,6.49442868830798
0,0,5.1,6.56293038140755
0,0,5.12,6.61157796131906
0,0,5.14,6.63995928419923
0,0,5.16,6.64765641163749
0,0,5.18,6.63418032611855
0,0,5.2,6.59888283485207
0,0,5.22,6.54083817778783
0,0,5.24,6.4586862949854
0,0,5.26,6.35042717450608
0,0,5.28,6.21316454868354
0,0,5.3,6.04284120397799
0,0,5.32,5.83414840983336
0,0,5.34,5.58123141078978
0,0,5.36,5.28091412624052
0,0,5.38,4.9420377124548
0,0,5.4,4.60318599393119
0,0,5.42,4.3408510977938
0,0,5.44,4.21749235225779
0,0,5.46,4.19635962870411
0,0,5.48,4.16826432379816
0,0,5.5,4.04585987327354
0,0,5.52,3.83920221811118
0,0,5.54,3.57889010423663
0,0,5.56,3.24977385184955
0,0,5.58,2.85192909819806
0,0,5.6,2.38842719483083
0,0,5.62,1.86018756583364
0,0,5.64,1.26647684467476
0,0,5.66,0.606150452830891
0,0,5.68,-0.1208193114524
0,0,5.7,-0.911239013632464
0,0,5.72,-1.75558863547865
0,0,5.74,-2.63364991040046
0,0,5.76,-3.50951532021184
0,0,5.78,-4.32918137174973
0,0,5.8,-5.02786819870342
0,0,5.82,-5.55389103572361
0,0,5.84,-5.90121055000096
0,0,5.86,-6.12164691342088
0,0,5.88,-6.29487007242026
0,0,5.9,-6.47020071278498
0,0,5.92,-6.61616385710551
0,0,5.94,-6.61965192491579
0,0,5.96,-6.36542334085691
0,0,5.98,-5.84094309500359
0,0,6,-5.1438294118809
0,0,6.02,-4.39863122663199
0,0,6.04,-3.69539522700286
0,0,6.06,-3.08251524881003
0,0,6.08,-2.58116448483221
0,0,6.1,-2.1973601873949
0,0,6.12,-1.92484040829665
0,0,6.14,-1.7366221711969
0,0,6.16,-1.56437042663068
0,0,6.18,-1.27993731758812
0,0,6.2,-0.734525703056268
0,0,6.22,0.111542013525448
0,0,6.24,1.12423126180946
0,0,6.26,2.11821321555628
0,0,6.28,2.98399430759311
0,0,6.3,3.69730352053323
0,0,6.32,4.27667977453576
0,0,6.34,4.7510753936042
0,0,6.36,5.14618352021853
0,0,6.38,5.48118307740538
0,0,6.4,5.76929704896655
0,0,6.42,6.01920590127367
0,0,6.44,6.23634389819288
0,0,6.46,6.42387737504169
0,0,6.48,6.58339901637542
0,0,6.5,6.71541770257867
0,0,6.52,6.81971262183206
0,0,6.54,6.89560027417669
0,0,6.56,6.94214349153178
0,0,6.58,6.95831933090264
0,0,6.6,6.94314695261561
0,0,6.62,6.89577209678392
0,0,6.64,6.81549017426977
0,0,6.66,6.70167954725841
0,0,6.68,6.55358910732906
0,0,6.7,6.36987067807241
0,0,6.72,6.14764863893141
0,0,6.74,5.88086824698012
0,0,6.76,5.55892972874102
0,0,6.78,5.1779457963108
0,0,6.8,4.81541030048935
0,0,6.82,4.65241050514997
0,0,6.84,4.55972981066377
0,0,6.86,4.3595390210388
0,0,6.88,4.08062389893083
0,0,6.9,3.76446460323726
0,0,6.92,3.42976748899015
0,0,6.94,3.08462019727905
0,0,6.96,2.73302135589021
0,0,6.98,2.37727101547114
0,0,7,2.0188651113693
0,0,7.02,1.65886164583129
0,0,7.04,1.29804673265432
0,0,7.06,0.9370190726556
0,0,7.08,0.576237501962216
0,0,7.1,0.216050863753353
0,0,7.12,-0.143281469015216
0,0,7.14,-0.501574621109202
0,0,7.16,-0.858707106354293
0,0,7.18,-1.21461221757787
0,0,7.2,-1.56927161771476
