"Freq [GHz]","Phi [deg]","Theta [deg]","dB(RealizedGainPhi) []","dB(RealizedGainTheta) []"
5.2,0,-180,-48.1592448688427,-14.3140016783634
5.2,0,-178,-49.0025700977838,-14.6708759121226
5.2,0,-176,-49.9622190786482,-15.0375446828394
5.2,0,-174,-51.0327060300332,-15.4052072087747
5.2,0,-172,-52.1925370906876,-15.7626647251522
5.2,0,-170,-53.3874908216434,-16.0964006276902
5.2,0,-168,-54.5067281508633,-16.3911480868672
5.2,0,-166,-55.3716787565684,-16.6311139403085
5.2,0,-164,-55.7907480036906,-16.8018583811303
5.2,0,-162,-55.6917966779791,-16.8925190529167
5.2,0,-160,-55.1871235577366,-16.8977486140554
5.2,0,-158,-54.4732487860767,-16.8186557199445
5.2,0,-156,-53.7106680062956,-16.6623609986485
5.2,0,-154,-52.9912934633821,-16.4403549205009
5.2,0,-152,-52.3566772468669,-16.166295487088
5.2,0,-150,-51.8207957147229,-15.8539480801159
5.2,0,-148,-51.384566281709,-15.5157091048398
5.2,0,-146,-51.0433980693907,-15.1618168466942
5.2,0,-144,-50.7907787362597,-14.8001256734288
5.2,0,-142,-50.619865704656,-14.436242335208
5.2,0,-140,-50.5241119521776,-14.0738439323218
5.2,0,-138,-50.497424575038,-13.7150535064495
5.2,0,-136,-50.5340882306673,-13.360803244648
5.2,0,-134,-50.6285579150401,-13.0111535675874
5.2,0,-132,-50.7751658170543,-12.665558886467
5.2,0,-130,-50.9677615785865,-12.3230819891541
5.2,0,-128,-51.1993001348098,-11.98256338044
5.2,0,-126,-51.4614025553411,-11.6427527298766
5.2,0,-124,-51.743943961512,-11.3024088809244
5.2,0,-122,-52.0347694568785,-10.9603737372059
5.2,0,-120,-52.3196966550203,-10.6156242833364
5.2,0,-118,-52.5830046672954,-10.2673062098556
5.2,0,-116,-52.8085800472355,-9.914752111366
5.2,0,-114,-52.9817265785836,-9.5574869490913
5.2,0,-112,-53.091339030357,-9.19522332091051
5.2,0,-110,-53.1318180147354,-8.82784897509049
5.2,0,-108,-53.1040107125843,-8.45540887220355
5.2,0,-106,-53.0147685431277,-8.07808390614871
5.2,0,-104,-52.8752837087663,-7.69616813122132
5.2,0,-102,-52.698827958577,-7.31004602119996
5.2,0,-100,-52.4985970687881,-6.92017093483368
5.2,0,-98,-52.2861134214608,-6.52704561030709
5.2,0,-96,-52.070301891701,-6.13120518652499
5.2,0,-94,-51.8571247345501,-5.73320297126348
5.2,0,-92,-51.6495839419306,-5.33359895627608
5.2,0,-90,-51.44792526251,-4.93295091983574
5.2,0,-88,-51.2499435185844,-4.53180785393323
5.2,0,-86,-51.0513535568646,-4.13070539824437
5.2,0,-84,-50.8462372745087,-3.7301629458356
5.2,0,-82,-50.6275979516879,-3.33068209595117
5.2,0,-80,-50.3880452014783,-2.93274615757611
5.2,0,-78,-50.1205969004234,-2.53682044579956
5.2,0,-76,-49.8195267182693,-2.14335315509563
5.2,0,-74,-49.4811291693833,-1.75277663499763
5.2,0,-72,-49.1042499716648,-1.36550893130159
5.2,0,-70,-48.6904621236451,-0.981955488178785
5.2,0,-68,-48.2438539126142,-0.602510932669858
5.2,0,-66,-47.7704982524572,-0.227560882954031
5.2,0,-64,-47.2777462366078,0.142516263976489
5.2,0,-62,-46.7735037846876,0.507347600244354
5.2,0,-60,-46.2656143272254,0.86656406014352
5.2,0,-58,-45.7614104814782,1.21979888518667
5.2,0,-56,-45.2674422100677,1.56668622711722
5.2,0,-54,-44.7893534395729,1.90685991478967
5.2,0,-52,-44.3318649382158,2.2399524107608
5.2,0,-50,-43.89882210886,2.56559398274262
5.2,0,-48,-43.4932746262027,2.88341211331252
5.2,0,-46,-43.1175649166722,3.19303116821929
5.2,0,-44,-42.7734113503363,3.49407233922543
5.2,0,-42,-42.461978654846,3.78615387181419
5.2,0,-40,-42.1839325276079,4.06889158152491
5.2,0,-38,-41.9394782059094,4.34189965551835
5.2,0,-36,-41.7283844224767,4.60479172861613
5.2,0,-34,-41.5499952132486,4.85718221591187
5.2,0,-32,-41.4032328198586,5.09868787748724
5.2,0,-30,-41.2865956849539,5.32892958509198
5.2,0,-28,-41.1981564034759,5.54753425608675
5.2,0,-26,-41.1355654785238,5.75413691663397
