"Freq [GHz]","Phi [deg]","Theta [deg]","dB(RealizedGainPhi) []","dB(RealizedGainTheta) []"
6.6,0,106,-35.9288374507343,-1.05130048365227
6.6,0,108,-35.9943263125083,-1.02582521327665
6.6,0,110,-36.0988657733713,-0.996941797461425
6.6,0,112,-36.2464507903574,-0.965937784890786
6.6,0,114,-36.4414524072229,-0.934191432448858
6.6,0,116,-36.688795302729,-0.903162246692991
6.6,0,118,-36.9942052173602,-0.874383963670824
6.6,0,120,-37.3645496518193,-0.84946035276835
6.6,0,122,-37.8083062306138,-0.83006403845094
6.6,0,124,-38.3362100805687,-0.817938375362723
6.6,0,126,-38.9621573855114,-0.814902302445648
6.6,0,128,-39.7044786448782,-0.822858050942628
6.6,0,130,-40.5877324071061,-0.84380159581143
6.6,0,132,-41.6451411065147,-0.879835823996497
6.6,0,134,-42.9213619709504,-0.933186549051998
6.6,0,136,-44.4728793001728,-1.00622173387115
6.6,0,138,-46.3513149409932,-1.10147459982241
6.6,0,140,-48.4990759091623,-1.2216717171689
6.6,0,142,-50.3270124819561,-1.36976771694268
6.6,0,144,-50.3454134873862,-1.54898898797086
6.6,0,146,-48.3761725621496,-1.76288970722944
6.6,0,148,-45.9293025338521,-2.01542493337899
6.6,0,150,-43.7294719969508,-2.31104749661643
6.6,0,152,-41.8760715163441,-2.65483841655955
6.6,0,154,-40.326560918727,-3.05268520841921
6.6,0,156,-39.0268194879237,-3.51152980278037
6.6,0,158,-37.9333801905986,-4.03971989781083
6.6,0,160,-37.0140081281586,-4.64751810531993
6.6,0,162,-36.24502927619,-5.3478594938881
6.6,0,164,-35.6088746784698,-6.1575149005673
6.6,0,166,-35.0922864090949,-7.09894673472742
6.6,0,168,-34.685076972919,-8.20340985672643
6.6,0,170,-34.3792814891207,-9.51643623991322
6.6,0,172,-34.1685780692205,-11.1082468784499
6.6,0,174,-34.0478910814252,-13.0953465649145
6.6,0,176,-34.0131206738379,-15.6904033853323
6.6,0,178,-34.0609607226127,-19.3288368789481
6.6,0,180,-34.1887788945713,-24.8298421218815
6.6,90.0000000000002,-180,-24.8298421218815,-34.1887788945712
6.6,90.0000000000002,-178,-25.143201199585,-41.8940657931555
6.6,90.0000000000002,-176,-25.6222603974085,-46.4810116676127
6.6,90.0000000000002,-174,-26.2809474745364,-35.9721301865322
6.6,90.0000000000002,-172,-27.1203270761181,-31.2916612413384
6.6,90.0000000000002,-170,-28.1031702202088,-28.3291474129077
6.6,90.0000000000002,-168,-29.092327045366,-26.1971528785479
6.6,90.0000000000002,-166,-29.7600400870033,-24.562387351061
6.6,90.0000000000002,-164,-29.651317998359,-23.2633455938714
6.6,90.0000000000002,-162,-28.6235572840953,-22.2093142029464
6.6,90.0000000000002,-160,-27.0364361528084,-21.3441013577878
6.6,90.0000000000002,-158,-25.309091230225,-20.6303566813886
6.6,90.0000000000002,-156,-23.6605578511124,-20.041882471729
6.6,90.0000000000002,-154,-22.1635788681877,-19.5595008755227
6.6,90.0000000000002,-152,-20.8281163697503,-19.1686706073678
6.6,90.0000000000002,-150,-19.6429481857265,-18.8580333152981
6.6,90.0000000000002,-148,-18.5916315023163,-18.6184845584334
6.6,90.0000000000002,-146,-17.6579352047095,-18.4425549760568
6.6,90.0000000000002,-144,-16.827401336612,-18.3239811801104
6.6,90.0000000000002,-142,-16.0875608686742,-18.2573948723629
6.6,90.0000000000002,-140,-15.4277233084044,-18.2380853350111
6.6,90.0000000000002,-138,-14.8386675089852,-18.2618053931771
6.6,90.0000000000002,-136,-14.31234426618,-18.3245994915491
6.6,90.0000000000002,-134,-13.8416224629894,-18.4226374879481
6.6,90.0000000000002,-132,-13.4200828106325,-18.5520408260281
6.6,90.0000000000002,-130,-13.0418545283623,-18.708690144259
6.6,90.0000000000002,-128,-12.7014885258928,-18.8880063359708
6.6,90.0000000000002,-126,-12.3938612098316,-19.0847021381278
6.6,90.0000000000002,-124,-12.1141041889687,-19.2925105634206
6.6,90.0000000000002,-122,-11.8575562586816,-19.50391240538
6.6,90.0000000000002,-120,-11.6197348791498,-19.7099097276256
6.6,90.0000000000002,-118,-11.3963248632926,-19.8999250276704
6.6,90.0000000000002,-116,-11.1831821609634,-20.0619388742355
6.6,90.0000000000002,-114,-10.9763505036747,-20.182992319717
6.6,90.0000000000002,-112,-10.7720883274151,-20.250142073193
6.6,90.0000000000002,-110,-10.5669029205725,-20.2518369610479
6.6,90.0000000000002,-108,-10.3575882792258,-20.1794926379109
6.6,90.0000000000002,-106,-10.141262838028,-20.0288590946387
6.6,90.0000000000002,-104,-9.91540321638342,-19.800734814596
6.6,90.0000000000002,-102,-9.67787046903671,-19.5007644590433
6.6,90.0000000000002,-100,-9.42692607798727,-19.1383923176566
6.6,90.0000000000002,-98,-9.16123600228972,-18.7253360083005
6.6,90.0000000000002,-96,-8.87986236845908,-18.2740348710426
6.6,90.0000000000002,-94,-8.5822436446738,-17.796412942297
6.6,90.0000000000002,-92,-8.2681652046359,-17.3030956209023
6.6,90.0000000000002,-90,-7.93772290619524,-16.8030518114174
6.6,90.0000000000002,-88,-7.59128261743261,-16.3035491564795
6.6,90.0000000000002,-86,-7.22943853462343,-15.8102970971509
6.6,90.0000000000002,-84,-6.85297273583207,-15.327677177958
6.6,90.0000000000002,-82,-6.4628178213933,-14.8589943352212
6.6,90.0000000000002,-80,-6.06002383303774,-14.4067123988619
6.6,90.0000000000002,-78,-5.64573002045909,-13.9726574539315
6.6,90.0000000000002,-76,-5.22114150652095,-13.5581848773227
6.6,90.0000000000002,-74,-4.78751052244077,-13.1643121541526
6.6,90.0000000000002,-72,-4.34612164455459,-12.7918222360513
6.6,90.0000000000002,-70,-3.89828034720326,-12.4413428629703
6.6,90.0000000000002,-68,-3.4453041647069,-12.1134069598673
6.6,90.0000000000002,-66,-2.98851580028856,-11.8084985253905
6.6,90.0000000000002,-64,-2.52923760523951,-11.5270876551232
6.6,90.0000000000002,-62,-2.06878695698684,-11.2696576271845
6.6,90.0000000000002,-60,-1.60847217508459,-11.0367263755609
6.6,90.0000000000002,-58,-1.14958871948422,-10.8288641961443
6.6,90.0000000000002,-56,-0.693415509509798,-10.6467091634346
6.6,90.0000000000002,-54,-0.241211281241253,-10.4909814681831
6.6,90.0000000000002,-52,0.205789036170127,-10.3624977046129
6.6,90.0000000000002,-50,0.646377898711455,-10.2621860306764
6.6,90.0000000000002,-48,1.07937862385081,-10.1911030915079
6.6,90.0000000000002,-46,1.50364869351534,-10.150453636043
6.6,90.0000000000002,-44,1.91808280979511,-10.1416138778223
6.6,90.0000000000002,-42,2.3216156372212,-10.166159870067
6.6,90.0000000000002,-40,2.71322418059184,-10.2259025109398
6.6,90.0000000000002,-38,3.09192976694547,-10.3229313137954
6.6,90.0000000000002,-36,3.4567996216813,-10.4596698426691
