"cut1 [mm]","Wo1 [mm]","Freq [GHz]","dB(S(1,1)) []"
1,13.5,5.7,-2.89878091868096
1,13.5,5.72,-2.8466039513385
1,13.5,5.74,-2.82432615045855
1,13.5,5.76,-2.82780464348006
1,13.5,5.78,-2.85358505611147
1,13.5,5.8,-2.89880144862214
1,13.5,5.82,-2.96107898607091
1,13.5,5.84,-3.0384310983935
1,13.5,5.86,-3.12914155867977
1,13.5,5.88,-3.231620076034
1,13.5,5.9,-3.34421840039989
1,13.5,5.92,-3.4649943454869
1,13.5,5.94,-3.59141725652606
1,13.5,5.96,-3.72002683295388
1,13.5,5.98,-3.84609695403365
1,13.5,6,-3.96342404163797
1,13.5,6.02,-4.06444542254361
1,13.5,6.04,-4.14094494596242
1,13.5,6.06,-4.18551309845002
1,13.5,6.08,-4.19359286362452
1,13.5,6.1,-4.16543122753115
1,13.5,6.12,-4.10694808728429
1,13.5,6.14,-4.02887431889102
1,13.5,6.16,-3.94443266104814
1,13.5,6.18,-3.86662578613222
1,13.5,6.2,-3.80622537946923
1,13.5,6.22,-3.77094644095745
1,13.5,6.24,-3.7656405537909
1,13.5,6.26,-3.7930470509719
1,13.5,6.28,-3.85468378215731
1,13.5,6.3,-3.95163826636859
1,13.5,6.32,-4.08518206259297
1,13.5,6.34,-4.25722578389136
1,13.5,6.36,-4.47066975322595
1,13.5,6.38,-4.729711505699
1,13.5,6.4,-5.04016614750465
1,13.5,6.42,-5.40984965173259
1,13.5,6.44,-5.84907204269037
1,13.5,6.46,-6.37128478947258
1,13.5,6.48,-6.99391237295223
1,13.5,6.5,-7.7393306445622
1,13.5,6.52,-8.63569567117785
1,13.5,6.54,-9.7163974197233
1,13.5,6.56,-11.0136226116752
1,13.5,6.58,-12.5301375965004
1,13.5,6.6,-14.1406275909674
1,13.5,6.62,-15.3582319129617
1,13.5,6.64,-15.3414764965203
1,13.5,6.66,-13.9707082381248
1,13.5,6.68,-12.0655282267271
1,13.5,6.7,-10.2207973758956
1,13.5,6.72,-8.61866394246069
1,13.5,6.74,-7.27480753331615
1,13.5,6.76,-6.16116218179515
1,13.5,6.78,-5.24309609535085
1,13.5,6.8,-4.48886708717732
1,13.5,6.82,-3.87143250009267
1,13.5,6.84,-3.36832421393418
1,13.5,6.86,-2.96112030339429
1,13.5,6.88,-2.63489550307276
1,13.5,6.9,-2.37773003940224
1,13.5,6.92,-2.1802837865101
1,13.5,6.94,-2.03542711766231
1,13.5,6.96,-1.93791410998114
1,13.5,6.98,-1.884075978699
1,13.5,7,-1.87149984075888
1,13.5,7.02,-1.89863941016084
1,13.5,7.04,-1.96428155471246
1,13.5,7.06,-2.06677383443697
1,13.5,7.08,-2.20292615501085
1,13.5,7.1,-2.36658265039279
1,13.5,7.12,-2.54708857234302
1,13.5,7.14,-2.72828872914238
1,13.5,7.16,-2.88913524709349
1,13.5,7.18,-3.00692855457067
1,13.5,7.2,-3.06299936972115
1.5,14,4.8,-1.91461361905929
1.5,14,4.82,-2.06650713370247
1.5,14,4.84,-2.23679341530746
1.5,14,4.86,-2.42850006530398
1.5,14,4.88,-2.64529384861647
1.5,14,4.9,-2.89164852744964
1.5,14,4.92,-3.17306726256168
1.5,14,4.94,-3.49638198555169
1.5,14,4.96,-3.87016407768493
1.5,14,4.98,-4.30530091343024
1.5,14,5,-4.81582866737342
