"Freq [GHz]","dB(S(1,1)) [] - a='-0.4mm'","dB(S(1,1)) [] - a='0.4mm'","dB(S(1,1))_1 []"
6.82,-5.56126195522607,-3.93362307170157,-3.88866495654157
6.84,-4.95182380700595,-3.51817547774281,-3.49123140276588
6.86,-4.42361226691046,-3.15093004656515,-3.14339387869339
6.88,-3.9645099811822,-2.83156988636545,-2.83895947514009
6.9,-3.56454755034625,-2.55428039383814,-2.57229005130217
6.92,-3.21542186037515,-2.31308016407691,-2.33849014907882
6.94,-2.91015669054709,-2.10288873373455,-2.13336056380547
6.96,-2.64285536222495,-1.91949956772389,-1.95330687157458
6.98,-2.4085136338464,-1.75941695450301,-1.79525341704316
7,-2.20287374993913,-1.61971763321005,-1.6565702043786
7.02,-2.02230784056648,-1.49794767532749,-1.53501178517952
7.04,-1.86372312341372,-1.39204560001229,-1.42866626914113
7.06,-1.7244839274288,-1.30028382756303,-1.33591287812812
7.08,-1.60234713489119,-1.22122339024009,-1.25538685391374
7.1,-1.49540863245398,-1.15367880009269,-1.18595084290058
7.12,-1.40205901017391,-1.09669119155856,-1.12667212620339
7.14,-1.3209471935605,-1.04950861742276,-1.07680527026958
7.16,-1.25095102208624,-1.01157289383721,-1.03577996568299
7.18,-1.1911540495781,-0.982512790769499,-1.0031940180918
7.2,-1.14082806960812,-0.962143723274606,-0.978811669432117
